RowID,Date Marked Complete,UDOT Region,Person Working Title,UDOT Unit,Construction Site Stormwater Runoff Control,Long-Term Stormwater Management,Pollution Prevention and Good Housekeeping,Stormwater Pollution Prevention and IDDE,Progress,Stormwater Pollution Prevention and IDDE-,Long-Term Stormwater Management-,Pollution Prevention and Good Housekeeping-,Construction Site Stormwater Runoff Control-
2871990,08/14/2018 12:00:00 AM,Region 1,Right Of Way Engineer,1209 - ROW Unit,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4879710,07/03/2018 12:00:00 AM,Region 1,Transportation Technician II,1431 - Snowville,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4434426,07/03/2018 12:00:00 AM,Region 2,Utility Leader,2209 - Utilities,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5340465,07/19/2018 12:00:00 AM,Region 2,Maintenance Engineer,2411 - Region 2 Maint Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3848877,07/11/2018 12:00:00 AM,Region 4,Materials Engineering Assistant,4266 - R4 Materials Lab Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5003505,07/09/2018 12:00:00 AM,Complex,Aircraft Pilot,8945 - Aero Airplane Operations,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3919482,07/03/2018 12:00:00 AM,Complex,Senior Business Analyst,8211 - Business Information Technologies,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3303315,07/02/2018 12:00:00 AM,Region 3,Engineering Manager II,3150 - R3 Traffic & Permits,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5161698,08/15/2018 12:00:00 AM,Complex,Program Administrator,8371 - Traffic Safety Admin,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3127599,08/03/2018 12:00:00 AM,Complex,Electronics Supervisor,8382 - tmd system maintenance,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5470956,07/30/2018 12:00:00 AM,Region 2,Transportation Technician I,2430 - Salt Lake City Central,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5278014,07/19/2018 12:00:00 AM,Region 4,Transportation Technician II,4466 - Loa,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5531166,07/09/2018 12:00:00 AM,Region 3,Electronic Technical Specialist II,3446 - Signal Crew,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4430646,08/08/2018 12:00:00 AM,Region 1,Transportation Technician III,1448 - Sardine/Laydown Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5478516,07/11/2018 12:00:00 AM,Region 4,Construction Transportation Technician III,4762 - R4 Crew 2,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4478139,07/02/2018 12:00:00 AM,Complex,Engineering Manager I,8374 - Signal & Lighting Design,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4096818,07/03/2018 12:00:00 AM,Region 4,Region Trainer,4411 - Maintenance Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3308364,07/18/2018 12:00:00 AM,Complex,Project Manager,8386 - tmd its program management,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5465880,07/05/2018 12:00:00 AM,Complex,Region Stormwater Program Coordinator,8307 - Maintenance Planning,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5422653,08/22/2018 12:00:00 AM,Region 1,Transportation Technician III,1422 - Ogden,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2833839,08/03/2018 12:00:00 AM,Complex,Financial Manager II,8130 - Comptroller,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3121200,07/02/2018 12:00:00 AM,Region 2,Transportation Technician III,2423 - Tooele,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3836889,07/17/2018 12:00:00 AM,Complex,Auditor II,8132 - Internal Audit,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4560840,07/02/2018 12:00:00 AM,Region 1,Maintenance Analyst,1411 - Region 1 Maint Admin,0,1,1,1,0.375,Successful,Successful,Successful,Not Assigned
2783403,09/07/2018 12:00:00 AM,Complex,Warehouse Worker III,8116 - Procurement,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3642543,07/18/2018 12:00:00 AM,Complex,Electronics Supervisor,8382 - tmd system maintenance,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3672837,07/11/2018 12:00:00 AM,Region 4,Design Technician III,4208 - Design Crew 2,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5084046,07/16/2018 12:00:00 AM,Region 1,Transportation Technician II,1423 - Brigham City,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2942865,07/19/2018 12:00:00 AM,Region 3,Udot District Engineer,3100 - R3 Administration,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2911653,07/02/2018 12:00:00 AM,Region 3,Station Supervisor,3428 - R3 Saratoga Springs,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3309984,07/05/2018 12:00:00 AM,Region 3,Traffic Engineer,3150 - R3 Traffic & Permits,1,1,0,1,0.375,Successful,Successful,Not Assigned,Successful
5152329,07/23/2018 12:00:00 AM,Region 2,Field Engineer,2753 - R2 Crew 3,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4447548,07/02/2018 12:00:00 AM,Region 3,Transportation Technician III,3423 - Lehi,1,1,1,1,0.5,Successful,Successful,Successful,Successful
